DC,Devices,LC,RMA_Status
1,r1,abcx,yes
2,r2,abca,no
2,r3,abcb,no
6,r4,abcd,yes
4,r5,abcz,yes
5,r6,abcy,no
7,r5,abcn,yes
1,r1,abcx,yes
2,r2,abca,no
2,r3,abcb,no
6,r4,abcd,yes
4,r5,abcz,yes
5,r6,abcy,no
7,r5,abcn,no
1,r1,abcx,yes
2,r2,abca,no
2,r3,abcb,no
6,r4,abcd,yes
4,r5,abcz,no
5,r6,abcy,no
7,r5,abcn,yes
1,r1,abcx,yes
2,r2,abca,no
2,r3,abcb,yes
6,r4,abcd,yes
4,r5,abcz,no
5,r6,abcy,no
7,r5,abcn,yes
1,r1,abcx,no
2,r2,abca,no
2,r3,abcb,no
6,r4,abcd,yes
4,r5,abcz,no
5,r6,abcy,no
7,r5,abcn,yes
